,date
531,2011-02-12
532,2011-08-16
533,2011-08-20
534,2011-08-21
535,2011-09-06
536,2011-09-09
537,2011-09-20
538,2011-09-21
539,2011-10-18
540,2011-10-26
541,2011-11-01
542,2011-11-02
543,2011-12-01
544,2011-12-05
545,2011-12-12
546,2011-12-22
547,2012-01-02
548,2012-01-08
549,2012-02-02
550,2012-02-03
551,2012-03-08
552,2012-03-09
553,2012-08-28
554,2012-09-09
555,2012-09-12
556,2012-09-14
557,2012-09-27
558,2012-09-28
559,2012-10-13
560,2012-11-05
561,2013-01-15
562,2013-01-17
563,2013-02-10
564,2013-02-15
565,2013-04-09
566,2013-04-25
567,2013-04-26
568,2013-05-02
569,2013-05-04
570,2013-07-21
571,2013-09-08
572,2013-09-20
573,2013-10-04
574,2013-10-09
575,2013-10-23
576,2013-10-26
577,2013-11-21
578,2013-11-22
579,2013-11-23
580,2013-12-11
581,2013-12-12
582,2013-12-14
583,2013-12-22
584,2013-12-25
585,2014-01-01
586,2014-01-05
587,2014-01-14
588,2014-01-23
589,2014-03-11
590,2014-03-12
591,2014-04-07
592,2014-08-10
593,2014-09-05
594,2014-09-06
595,2014-09-07
596,2014-09-20
597,2014-09-21
598,2014-09-22
599,2014-09-28
600,2014-10-03
601,2014-10-04
602,2014-10-05
603,2014-10-10
604,2014-10-11
605,2015-01-01
606,2015-01-13
607,2015-01-15
608,2015-01-21
609,2015-01-22
610,2015-01-25
611,2015-02-13
612,2015-03-12
613,2015-03-13
614,2015-08-18
615,2015-08-28
616,2015-09-11
617,2015-09-18
618,2015-09-29
619,2015-10-09
620,2015-10-10
621,2015-10-21
622,2015-11-10
623,2015-11-21
624,2015-11-28
625,2015-11-29
626,2015-12-31
627,2016-01-02
628,2016-01-26
629,2016-02-08
630,2016-02-09
631,2016-07-23
632,2016-09-09
633,2016-09-10
634,2016-09-13
635,2016-09-22
636,2016-09-26
637,2016-11-08
638,2016-11-29
639,2016-12-03
640,2016-12-19
641,2017-01-14
642,2017-01-16
643,2017-02-12
644,2017-02-13
645,2017-02-14
646,2017-05-21
647,2017-09-27
648,2017-10-15
649,2017-10-27
650,2017-12-07
651,2017-12-11
652,2017-12-14
653,2018-01-14
654,2018-02-13
655,2018-04-19
656,2018-05-05
657,2018-08-08
658,2018-08-09
659,2018-08-28
660,2018-10-14
661,2018-10-15
662,2018-10-19
663,2018-11-14
664,2018-11-17
665,2018-12-09
666,2018-12-11
667,2019-01-01
668,2019-01-02
669,2019-01-26
670,2019-03-18
671,2019-08-24
672,2019-09-20
673,2019-09-21
674,2019-10-01
675,2019-10-06
676,2019-10-11
677,2019-11-14
678,2019-11-17
679,2019-11-20
680,2019-11-22
681,2019-12-02
682,2019-12-28
